oṃ sāmavedīyā chāndogyopaniṣat	One should meditate upon the syllable ‘Om’, the Udgītha; because one sings beginning with ‘Om’;
nanvasminpakṣe 'pyaśrutaṃ śrutaṃ bhavatītyādyanupapannam /	‘But, even under this view, it would not be possible that the unheard becomes heard etc’Not so;
na, sadasmītibuddhividheḥ stutyarthatvāt /	because in reality the idea that ‘ am Being’ is meant to be an eulogy
na, ācāryavānpuruṣo veda tasya tāvadeva ciramityupadeśāt /	This cannot be right; because it has been taught that ‘the man with a teacher knows;
yadi hi sadasmīti buddhimātraṃ kartavyatayā vidhīyate na tu tvaṃśabdavācyasya sadrūpatvameva tadā nā'cāryavānvedeti jñānopāyopadeśo vācyaḥ yathāgnihotraṃ juhuyādityevamādiṣvarthaprāptamevā'cāryavattvamiti tadvat /	and for him the delay is only so long etc, etc’If the idea that ‘ am Being’ had been enjoined as one to be cultivated,and not as asserting the fact of the entity devoted by the term ‘Thou’ being of the nature of Being itself,then there would be no point in asserting the means of obtaining that knowledge to be that ‘it is only the man with a teacher who knowsjust as in the case of such injunctions as ‘one should perform the Agnihotra’, the presence of the teacher from whom the Veda is learnt is already implied, and is nowhere actually enjoined
tasya tāvadeva ciramiti ca kṣepakaraṇaṃ na yuktaṃ syāt /	Further, in that case there would be no point in asserting any such interval as is mentioned in the phrase ‘for him the delay is only so long etc, etc’
sadātmatattve 'vijñāte 'pi sakṛdbuddhimātrakaraṇe mokṣaprasaṅgāt /	Lastly, under this interpretation that even without the realisation of one’s having his self in Being, if one only formed the said idea only once, he would at once attain liberation as he would have fulfilled the injunctions of cultivating the said notion
na ca tattvamasītyukte nāhaṃ saditipramāṇavākyajanitā buddhīrnivartayituṃ śakyā notpanneti vā śakyaṃ vaktum /	Further, where it has been declared that ‘That thou art’, and its full signification understood as meaning that ‘ am Being’this notion cannot be rejected as being asserted by an unauthoritative assertion, or as not brought about by all by any means of cognition
sarvopaniṣadvākyānāṃ tatparatayaivopakṣayāt /	Because as a matter of fact, all Upaniṣadic texts point to the same conclusion that ‘ am Being’
yathāgnihotrādividhijanitāgnihotrādikartavyatābuddhīnāmatathārthatvamanutpannatvaṃ vā na śakyate vaktuṃ tadvat /	in the case of this injunction, it cannot be denied that it lays down the performance of the Agnihotra and other rites, nor can it be denied that this notion is not brought about by that injunction
yattūktaṃ sadātmā sannātmānaṃ kathaṃ na jānīyāditi / nāsau doṣaḥ /	It has been argued that‘If one has his Self in Being, how is it that he does not know himself?’But this does not vitiate our position
kāryakaraṇasaṅghātavyatirikto 'haṃ jīvaḥ kartā bhoktetyapi svabhāvataḥ prāṇināṃ vijñānādarśanātkisu tasya sadātmavijñānam / kathamevaṃ vyatiriktavijñāne sati teṣāṃ kartṛtvādivijñānaṃ sambhavati dṛśyate ca /	Because normally, creatures do not even realise the fact that they are a living entity, the actor and enjoyer,distinct from the aggregate of causes and effects body; how can it be possible there to realise that they are of the nature of ‘Being’? In fact, if they had realised this difference of their selves from the body how could they have the idea of being the actor and enjoyer? and yet this idea is found to be present
tadvattasyāpi dehādiṣvātmabuddhitvānna syātsadātmavijñānam /	In the same manner, so long as this man regards the body as the Self, they cannot realise the idea that they have their Self in Being
tasmādvikārānṛtādhikṛtajīvātmavijñānanivartakamevedaṃ vākyaṃ tattvamasīti siddhamiti //	From all this it follows that what the sentence ‘That thou art’ does is to set aside the idea of ‘Self’ in regard to that ‘Living Ego’ which is a product, unreal and entitled to the performance of acts
atha saptamo 'dhyāyaḥ	End of Section of Discourse
adhīhi bhagava iti hopasasāda sanatkumāraṃ nāradaḥ /	End of Discourse ‘Teach me, Revered Sir,’saying this Nārada approached Sanatkumāra
taṃ hovāca yad vettha tena mopasīda /	He said to him‘What thou already knowest, come to me with that;
tatas ta ūrdhvaṃ vakṣyāmīti /	then shall teach thee beyond that’ He said
paramārthantattvopadeśapradhānaparaḥ ṣaṣṭho 'dhyāyaḥ sadātmaikatvanirṇayaparatayaivopayuktaḥ /	Discourse has been devoted mainly to the expounding of the Highest Truth, and it has been used to determine the unity of Being, Self This teaching is meant for the Disciple of the highest grade
na sator'vāgvikāralakṣaṇāni tattvāni nirdiṣṭānītyatastāni nāmādīni prāṇāntāni krameṇa	It has not dealt with things lower than the Being, in the form of products worldly things;
nirdiśya taddvāreṇāpi bhūmākhyaṃ niratiśayaṃ tattvaṃ nirdekṣyāmīti śākhācandradarśanavaditīnaṃ	and yet an account of these also is needed for the disciple of the middle grade, who is unable to grasp the Highest Truth;
saptamaṃ prapāṭhakamārabhate /	hence, the Seventh Discourse now begins, for the purpose of expounding just those things,beginning with Name and ending with LifeBreath Prāṇa;and then, through these, step by step, leading up to the Highest Truth, under the name of the ‘Bhūma’, ‘Infinite’
anirdiṣṭeṣu hi sator'vāktattveṣu sanmātre ca nirdiṣṭe 'nyadapyavijñātaṃ syādityāśaṅkā kasyacitsyātsā mā bhūditi vā tāni nirdidikṣati /	Or, these other lower things are expounded now in order to preclude the notion that people might have to the effect that there may be other things yet known,if the text had not described these lower things and had ended with the expounding of Being aloneor, thirdly, it may be that the text proceeds to describe these lower thingsName and the rest,with the idea that, in the manner of ascending by series of steps, shall begin with the grossest things,
athavā sopānārohaṇavatsthūlādārabhya sūkṣmaṃ sūkṣamataṃ ca buddhiviṣayaṃ jñāpayitvā tadatirikte svārājye 'bhiṣekṣyāmīti nāmādīni nirdidikṣati	and then rising, step by step, to subtler and subtler things, make these amenable to cognition, and lead on to what lies beyond them, in the form of ‘selfsovereignty’ wherein shall install him the disciple
athavā nāmādyuttarottaraviśiṣṭāni tattvānyatitarāṃ ca teṣāmutkṛṣṭatamaṃ bhūmākhyaṃ tattvamiti tatstutyarthaṃ nāmādīnāṃ krameṇopanyāsaḥ /	Or, fourthly, what is meant is that‘these things, Name and the rest, are, mentioned in the ascending scale of importance the following one being more important than the preceding, and higher than all these stands that Entity called ‘Infinite’; so that it is for the eulogising of this Infinite that Name and the rest have been introduced in a definite order of importance
ākhyāyikā tu paravidyāstutyarthā /	As for the story, it has been introduced for the purpose of eulogising the Highest Philosophy
katham /	In what way?
nārado devarṣiḥ kṛtakartavyaḥ sarvavidyo 'pi sannanātmajñatvācchuśocaiva kimu vaktavyamanyo 'lpavijjanturakṛtapuṇyātiśayo 'kṛtārtha iti / athavā nānyadātmajñānānniratiśayaśreyaḥ sādhanamastītyetatpradarśanārthaṃ sanatkumāranāradākhyāyikā'rabhyate / yena sarvavijñānasādhanaśaktisampannasyāpi nāradasya devarṣeḥ śreyo na babhūva yenottamābhijanavidyāvṛttasādhanaśaktisampattinimittābhi mānaṃ hitvā prākṛtapuruṣavatsanatkumāramupasasāda śreyaḥsādhanaprāptaye 'taḥ prakhyāpitaṃ	Nārada is a Divine Sage, who has fulfilled all his responsibilities, and had attained all knowledge and, yet, as he did not know the Self, he was sorry;what to say, then, of any ordinary creature with little knowledge, who has not acquired any particular kind of merit, and who is still one whose purposes have not been accomplishedOr, with a view to show that, apart from knowledge of Self, there is nothing that can accomplish the Highest Good,the text proceeds with the story of Sanatkumāra and Nārada, The sense is that though Nārada, a Divine sage, was equipped with the faculty of acquiring all knowledge, yet he did not attain the Highest Good,to such an extent that, renouncing all pride of unsurpassed percentage, deep learning, excellent character, and the possession of the power of accomplishing his aim,he approached Sanatkumāra, like an ordinary man, for the purpose of acquiring the means of attaining the Highest Good;
bhavati niratiśayaprāptisādhanatvamātmavidyāyā iti /	and it becomes indicated by this story that Self knowledge is the means of attaining the Highest Good
adhīhyadhīṣva bhagavā bha vinniti kilopasasāda /	‘Teach me, Revered Sir’thus did Nārada approach Sanatkumāra
adhīhi bhagava iti mantraḥ / sanatkumāraṃ yogīśvaraṃ brahmiṣṭhaṃ nārada upasannavān /	The words ‘teach me, Revered Sir’ constitute a mantra, a formula, with which Nārada approached Sanatkumāra, the chief of mystics yogīndra, who stood firm in Brahman
taṃ nyāyata upasannaṃ hovāca yadātmaviṣaye kiñcidvettha tena tatprakhyāpanena māmupasīdedamahaṃ jāna iti tato 'haṃ bhavato vijñānātte tubyamūrdhvaṃ vakṣyāmītyuktavati sa hovāca nāradaḥ //	To Nārada, who had approached him in the proper form, he said‘What thou already knowestregarding Self, come to me with that, ie come and give me an account of that,saying ‘this much know’; then shall teach thee beyond that, ie beyond what thou knowest already When he had said this, Nārada said as follows
ṛgvedaṃ bhagavo 'dhyemi yajurvedaṃ sāmavedam ātharvaṇaṃ caturtham itihāsapurāṇaṃ pañcamaṃ vedānāṃ vedaṃ pitryaṃ rāśiṃ daivaṃ nidhiṃ vākovākyam ekāyanaṃ devavidyāṃ brahmavidyāṃ bhūtavidyāṃ kṣatravidyāṃ nakṣatravidyāṃ sarpadevajanavidyām etad bhagavo	‘Revered Sir, know the Ṛgveda, the Yajurveda, the Sāmaveda, and the fourth Atharvaṇa, the ItihāsaPurāṇa, as the fifth of the Vedas,Grammar, the Science of ŚrāddhaRituals, Mathematics, the Science of Portents, the Science of Treasures, Logic, the Science of Ethics, the Science of Philology, the Vedic Science, the Physical Science, the Science of War, the Science of the Stars, the Science of Snakes, the Science of Celestials Fine Arts
'dhyemi //	All this, know, Revered Sir’
ṛgvedaṃ bhagavo 'dhyemi smarāmi yadvettheti vijñānasya pṛṣṭatvāt /	‘Revered sir, knowrememberthe Ṛgveda;
tathā yajurvedaṃ sāmavedamātharvaṇaṃ caturthaṃ vedaṃ vedaśabdasya prakṛtatvāditihāsapurāṇaṃ pañcamaṃ vedaṃ vedānāṃ bhāratapañcamānāṃ vedaṃ	that such is the meaning is clear from the question ‘tell me what you know’;similarly, Yajurveda, Sāmaveda and Atharvaṇa, the fourthie the fourth Veda, as it is the Veda that is the subjectmatter of the context;also ItihāsaPurāṇa, the fifth of the Vedas;
