.o namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	Om! Adoration to all Buddhas and Bodhisattvas!Introduction Introductory Stanzas.
atha saudāsastāmavasādanāmamṛṣyamāṇaḥ pratyuvāca-mā tāvadbhoḥ /	He answered: Do not speak so, sir.
ko 'sau nṛpaḥ kathaya yo na samudyatāstraḥ krīḍāvane vanamṛgīdayitānnihanti / tadvannihanmi manujān yadi vṛttiheto- rādharmikaḥ kila tato 'smi na te mṛgaghnāḥ // bodhisattva uvāca-	Where is that king, say, who does not kill with his bent bow in his park the mates of the hinds of the forest? If in a similar way kill men for my livelihood, am the unjust one, so it is said, not those killers of deer! The Bodhisattva spoke:.
dharme sthitā na khalu te 'pi namanti yeṣāṃ bhītadruteṣvapi mṛgeṣu śarāsanāni /	Neither do those stand on the ground of righteousness, whose bent bows are directed against the frightened and fleeing deer.
tebhyo 'pi nindyatama eva narāśanastu	But by far more reprehensible than those is a man-eater.
jātyucchritā hi puruṣā na ca bhakṣaṇīyāḥ // atha saudāsaḥ parikarkaśākṣaramapyabhidhīyamāno bodhisattvena tanmaitrīguṇaprabhāvādabhibhūtaraudrasvabhāvaḥ sukhāyamāna eva tadvacanamabhiprahasannuvāca-bhoḥ sutasoma /	Human beings, indeed, occupy by their birth the highest place (in the scale of creatures), and are not allowed to serve as food. Now, though the Bodhisattva had spoken very harsh words to the son of Sudāsa, the friendliness of his nature exercised such a power that it outweighed the ferocious nature of the man-eater. So he quietly heard In other words, ‘having transgressed the precepts of morality. Instead of samtyaktarthapathasya, read saṁtyaktāryapathasya..
mukto mayā nāma sametya gehaṃ samantato rājyavibhūtiramyam / yanmatsamīpaṃ punarāgatastvaṃ na nītimārge kuśalo 'si tasmāt //	After being released by me and having reached your home and lovely residence resplendent with the lustre of royalty, you came back to me.
bodhisattva uvāca-naitadasti /	For this reason you are not skilled in political wisdom, suppose. The Bodhisattva said: You are wrong.
ahameva tu kuśalo nītimārge yadenaṃ na pratipattumicchāmi /	On the contrary, am skilled in political wisdom, and therefore do not put it into effect.
yaṃ nāma pratipannasya dharmādaikāntikī cyutiḥ / na tu prasiddhiḥ saukhyasya tatra kiṃ nāma kauśalam // kiṃ ca bhūyaḥ /	What, in truth, is the worth of skill in an art, resorting to which brings about the certain fall from righteousness without bringing about happiness? Moreover, tell you,.
ye nītimārgapratipattidhīrāḥ prāyeṇa te pretya patantyapāyān /	Those who are wise in directing their actions along the way of political wisdom, commonly get into calamities after death.
apāsya jihmāniti nītimārgān satyānurakṣī punarāgato 'smi // ataśca nītau kuśalo 'hameva tyaktvānṛtaṃ yo 'bhirato 'smi satye /	Therefore put aside the winding paths of artful politics and keeping my faith, came back. Also by this show it is who am skilled in politics, that, leaving untruth, delight in veracity.
na tatsunītaṃ hi vadanti tajjñā yannānubadhnanti yaśaḥsukhārthāḥ // saudāsa uvāca-	For no action is declared by competent judges in the science of politics to be well managed which is not attended by good reputation, satisfaction, and interest. The son of Sudāsa spoke:.
kāmarthasiddhimanupaśyasi satyavākye tadrakṣaṇārthamapi māṃ yadupāgato 'si //	What is that interest you perceive to be attained by holding on veracity, that giving up your own dear life, your relations.
saṃkṣepastu śrūyatām-	Hear but the succinct account of them.
mālyaśriyaṃ hṛdyatayātiśete sarvān rasān svādutayā ca satyam / śramādṛte puṇyaguṇaprasiddhyā tapāṃsi tīrthābhigamaśramāṃśca //	Veracity surpasses splendid garlands by its lovely grace and every sweet flavour by its sweetness; and inasmuch as it produces merit, that excellent good, without toil, it is superior to every kind of penance and the troublesome pilgrimages to tīrthas.
kīrterjagadvyāptikṛtakṣaṇāyā mārgastrilokākramaṇāya satyam /	Affording to glory the opportunity of spreading among men, veracity is the way to its penetrating the three worlds.
dvāraṃ praveśāya surālayasya saṃsāradurgottaraṇāya setuḥ // atha saudāsaḥ sādhu yuktamityabhipraṇamyainaṃ savismayamabhivīkṣamāṇaḥ punaruvāca-	It is the entrance-door of the abode of the Celestials, the bridge to cross the swamps of Samsāra. Then the son of Sudāsa exclaimed: Excellent! right! and bowing to him and casting an admiring look on him, said again:.
anye narā madvaśagā bhavanti dainyārpaṇāttrāsaviluptadhairyāḥ /	The other men come into my power, are paralysed by affliction, and fear robs them of their courage.
saṃtyajyase tvaṃ tu na dhairyalakṣmyā manye na te mṛtyubhayaṃ narendra // bodhisattva uvāca-	In you, on the contrary, see a splendid imperturbation. suppose, you are not afraid of death, my prince. The Bodhisattva spoke:.
mahatāpi prayatnena yacchakyaṃ nītivartitum / pratīkārāsamarthena bhayaklaibyena tatra kim //	Of what use is cowardous fear, the most unfit means of prevention, against a thing which cannot be avoided even with great effort?.
pāpaprasaṅgādanutapyamānāḥ śubheṣu karmasvakṛtaśramāśca / āśaṅkamānāḥ paralokaduḥkhaṃ martavyasaṃtrāsajaḍā bhavanti //	It is the vexation of their mind in consequence of their wickedness; it is because they were wanting in exerting themselves to perform good actions; it is their apprehension of sufferings in the other world.
tadeva kartuṃ na tu saṃsmarāmi bhavedyato me manaso 'nutāpaḥ / sātmīkṛtaṃ karma ca śuklamasmāddharmasthitaḥ ko maraṇādbibhīyāt //	But do not remember having done anything that should torture my conscience, and consequently have imbibed pure actions into my very nature. Who, clinging to Righteousness, should be in fear of death?.
na ca smarāmyarthijanopayānaṃ yanna praharṣāya mamārthināṃ vā /	Nor do remember having made gifts to the indigent, which did not tend to the gladness of both the mendicants and myself.
iti pradānaiḥ samavāptatuṣṭirdharme sthitaḥ ko maraṇādbibhīyāt //	Who, having in this manner obtained contentment by his gifts, clinging to Righteousness, should be in fear of death?.
ciraṃ vicintyāpi ca naiva pāpe manaḥ padanyāsamapi smarāmi /	Even when reflecting for a long time, never recollect having taken any step towards evil, not even in my thoughts.
viśodhitasvargapatho 'hamevaṃ mṛtyoḥ kimarthaṃ bhayamabhyupeyam //	So the path to Heaven is cleared for me. Why should conceive fear of death?.
vipreṣu bandhuṣu suhṛtsu samāśriteṣu dīne jane yatiṣu cāśramabhūṣaṇeṣu / nyastaṃ mayā bahu dhanaṃ dadātā yathārhaṃ kṛtyaṃ ca yasya yadabhūttadakāri tasya //	On Brāhmans, on my relations and friends, on my dependents, on the poor, on ascetics who are the ornaments of their hermitages, bestowed much wealth, giving according to the worthiness of the recipients; what each of them was in want of, that was done for him.
śrīmanti kīrtanaśatāni niveśitāni satrājirāśramapadāni sabhāḥ prapāśca /	built hundreds of magnificent temples, hospitals, court yards, hermitages, halls, and tanks, and by this obtained.
mṛtyorna me bhayamatastadavāptatuṣṭe-	Therefore do not fear death.
ryajñāya tatsamupakalpaya bhuṅkṣva vā mām // tadupaśrutya saudāsaḥ prasādāśruvyāptanayanaḥ samudbhidyamānaromāñcapiṭako vismṛtapāpasvabhāvatāmisraḥ sabahumānamavekṣya bodhisattvamuvāca-śātaṃ pāpam /	Why, dress me for your sacrifice or eat me. On hearing this language, the son of Sudāsa was moved to tears of tenderness, the hairs on his body bristled, the darkness of his wicked nature vanished, and looking with reverence up to the Bodhisattva, he exclaimed: Beware! May the evil be averted!.
adyādviṣaṃ ca khalu hālahalaṃ prajānannāśīviṣaṃ prakupitaṃ jvaldāyasaṃ vā / mūrdhāpi tasya śatadhā hṛdayaṃ ca yāyā- dyastvadvidhasya nṛpapuṃgava pāpamicchet //	Verily, may he who should wish evil to such a being as you, foremost of princes, take the poison Hālahala knowingly, or eat a furious serpent or flaming iron, or may his head, also his heart, burst asunder into a hundred pieces! Therefore you may tell me also those holy sentences.
anena hi te vacanakusumavarṣeṇābhiprasāditamanasaḥ suṣṭhutaramabhivṛddhaṃ ca teṣu me kautūhalam /	Touched to tenderness as am by the flower-shower of your words, my curiosity to hear them grows stronger.
api ca bhoḥ /	Attend also to this.
dṛṣṭvā me caritacchāyāvairūpyaṃ dharmadarpaṇe / api nāmāgatāvegaṃ syānme dharmotsukaṃ manaḥ // athainaṃ bodhisattvaḥ pātrīkṛtāśayaṃ dharmaśravaṇapravaṇamānasamavetyovāca-tena hi dharmārthinā tadanurūpasamudacārasauṣṭhavena dharmaḥ śrotuṃ yuktam /paśya /	Having beholden the ugliness of my conduct in the mirror of Righteousness, and being touched by emotion may not, perhaps, be a person whose mind craves for the Law? Now the Bodhisattva, considering the eagerness of his desire to hear the Law, knew him to have become a fit vessel. He spoke: Being then desirous of hearing the Law, it is right that you listen to its preaching in the proper attitude suitable for that act.
nīcaistarāsanasthānādvibodhya vinayaśriyam / prītyarpitābhyāṃ cakṣurbhyāṃ vāṅmadhvāsvādayanniva // gauravāvarjitaikāgraprasannāmalamānasaḥ / satkṛtya dharmaṃ śṛṇuyadbhiṣagvākyamivāturaḥ //	Sitting on a lower seat, which betokens illustrious modesty; enjoying the honey of the (sacred) words with eyes expanding from gladness, so to speak; bending one's mind calm and pure to the most intense reverential attention in this way one must listen devoutly to the preaching of the Law, as a sick man to the words of a doctor..
atha bodhisattvo navāmbhodharaninadamadhureṇa gambhīreṇāpūrayanniva tadvanaṃ vyāpinā svareṇovāca- yadṛcchayāpyupānītaṃ sakṛtsajjanasaṃgatam /	After which, keeping his eyes fixed with attention on his face, he invited the Great Being: Speak now, sir. Then the Bodhisattva opened his mouth and filling as it were the forest with his voice deep and sonorous, like the lovely sound of a new-formed rain-cloud, spoke:.
bhavatyacalāmatyantaṃ nābhyāsakramamīkṣate // tadupaśrutya saudāsaḥ sādhu sādhviti svaśiraḥ prakampyāṅgulīvikṣepaṃ bodhisattvamuvāca-tatastataḥ? atha bodhisattvo dvitīyāṃ gāthāmudājahāra-	Meeting a virtuous person but once and by chance will suffice for friendship strong and for ever, not wanting repeated assurance. On hearing this gāthā, the son of Sudāsa exclaimed, Well said! well said! and nodding his head and waving his fingers said to the Bodhisattva: Go on, go on. Then the Bodhisattva uttered the second gāthā.
na sajjanāddūracaraḥ kvacidbhavedbhajeta sādhūn vinayakramānugaḥ /	From virtuous persons thou shouldst never keep remote, But follow those; to worship them thyself devote.
spṛśantyayatnena hi tatsamīpagaṃ visarpiṇastadguṇapuṣpareṇavaḥ // saudāsa uvāca-	Their fragrance-spreading virtues uncompelled must Attain him who stands near them, as does flower-dust. The son of Sudāsa spoke:.
subhāṣitānyarcayatā sādho sarvātmanā tvayā / sthāne khalu niyuktor 'thaḥ sthāne nāvekṣitaḥ śramaḥ //	You employed your wealth in the right manner, indeed; rightly you did not mind trouble, that you did your utmost, virtuous one, to reward well-said sentences! This formula (brūhīdānīṁ mārṣa) and the whole of this ceremonial shows a striking likeness to the observances prescribed for the instruction in theGo on, go on..
rathā nṛpāṇāṃ maṇihemabhūṣaṇā vrajanti dehāśca jarāvirūpatām /	The cars of kings, with jewels shining and with gold, With their possessors lose their beauty, growing old.
satāṃ tu dharmaṃ na jarābhivartate sthirānurāgā hi guṇeṣu sādhavaḥ // amṛtavarṣaṃ khalvidam /	conduct has old age access. But not to pious So strong a love of virtues pious men possess. (The other replied): This is as a shower of ambrosia, to be sure.
aho saṃtarpitāḥ smaḥ / tatastataḥ? bodhisattva uvāca-	how great a satisfaction you give me! Go on, go on. The Bodhisattva spoke: How far from.
astācalendrādudayastato 'pi dharmaḥ satāṃ dūratare 'satāṃ ca //	How distant Earth from Heaven is. the East Sunset, and both Ocean's shores distance keeps From one another.
atha saudāsaḥ prasādavismayābhyāmāvarjitapremabahumāno bodhisattvamuvāca-	Greater Of virtue severd and of wrong the lores. Then the son of Sudāsa, who in consequence of his gladness and surprise was filled with affection and reverence for the Bodhisattva, said to him:.
citrābhidhānātiśayojjvalārthā gāthāstvadetā madhurā niśamya /	Lovely are the gāthās heard from you. The elegance of their words is still surpassed by the brilliancy of their contents.
